Name,Type,Address,Town,State,AddressNote,Latitude,Longitude,Parking,ParkingAccessible,ParkingNote,AdultChange,ChangingPlaces,BabyChange,BabyCareRoom,DumpPoint,DPWashout,DPAfterHours,DumpPointNote,OpeningHours,OpeningHoursNote,Male,Female,Unisex,AllGender,Ambulant,Accessible,ToiletNote,Shower
Merton Rail Trail/Cemetery,Other,29 Duke Street,Merton,VIC,On Rail Trail,-36.97988264,145.7057527,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
Picnic Point Goughs Bay,Park or reserve,Bayside Boulevard,Goughs Bay,VIC,,-37.18766227,146.070218,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Mansfield RV Dump Point,Other,Stock Route,Mansfield,VIC,Behind Visitor Information Centre - Access via Stock Route,-37.05027061,146.0817406,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,OPEN: 24 hours,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
Old Railway Station,Other,175 High Street,Mansfield,VIC,,-37.05071373,146.0834035,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
View Street Sports Ground,Park or reserve,34 View Street,Mansfield,VIC,,-37.06241059,146.0907715,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
Pikes Road Rail Trail,Other,Great Victorian Rail Trail,Mansfield,VIC,,-37.04077181,146.0324929,TRUE,FALSE,Parking about 150m away at Pikes Rd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Only accessible from Railtrail - parking nearby,FALSE
Victorian Heart Hospital,Community building,631 Blackburn Road,Clayton,VIC,,-37.9121893,145.1400429,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Costerfield Hall Car Park,Car park,1136 Heathcote-Nagambie Road,Costerfield,VIC,,-36.8753502,144.7961143,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Eastern Park,Park or reserve,Cambridge Avenue,Warragul,VIC,,-38.158932,145.94095,TRUE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE
Hansen Reserve ,Park or reserve,35A Roberts Street,West Footscray,VIC,,-37.80453677,144.8716891,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
McNish Reserve Playground,Park or reserve,5 Court Street,Yarraville,VIC,,-37.81798783,144.8778231,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Gardiner Reserve,Other,72 Macaulay Road,North Melbourne,VIC,,-37.79904608,144.9434598,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE
The Crescent,Park or reserve,7 High Street,Lancefield,VIC,,-37.27769839,144.735197,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Docklands Park,Park or reserve,752-768 Collins Street,Docklands,VIC,At playground near tram stop,-37.82178073,144.9474689,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE
Hughes Road,Beach,Point Nepean Rd,Blairgowrie,VIC,,-38.35383723,144.7630289,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 24 hours,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
Springvale Community Aid and Advisory Bureau - Standalone Building,Other,Osborne Street,Springvale,VIC,,-37.94638728,145.1488001,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,FALSE
Hunt Club Village Shopping Centre,Shopping centre,1S Linsell Boulevard,Cranbourne East,VIC,,-38.1001368,145.2936804,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"OPEN: Thu-Fri 9am-9pm, Sun 10am-5pm, Sat 9am-5pm, Mon-Wed 9am-5:30pm",,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE
Emerald Lake Park,Other,Emerald Lake Road,Emerald,VIC,,-37.9302778,145.4602778,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: 8am-8pm,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
Pakenham Central Marketplace Car Park,Car park,54 John Street,Pakenham,VIC,,-38.0772831,145.4826928,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Variable hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Emerald Hills Hub Community Centre,Community building,400B Belgrave-Gembrook Road,Emerald,VIC,,-37.9291241,145.4458111,TRUE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,OPEN: Mon-Sat 10am-1pm,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
M R Power Reserve,Park or reserve,,Sebastopol,VIC,,-37.60192747,143.8300562,TRUE,FALSE,"Nearest parking is uneven gravel adjacent to dog park, without a path to facilities.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,FALSE
Sparrow Ground Reserve,Park or reserve,4A Spencer Street,Canadian,VIC,,-37.5773794,143.8847942,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
