Coordinates,Dog_bowl,Bottle_refill_tap,Latitude,Longitude
"-37.815185695578855, 144.95257756009232",FALSE,FALSE,-37.8151857,144.9525776
"-37.824688315009205, 144.94695310036423",FALSE,FALSE,-37.82468832,144.9469531
"-37.81337112781817, 144.94357125504956",FALSE,FALSE,-37.81337113,144.9435713
"-37.809593623030885, 144.96424038761432",FALSE,TRUE,-37.80959362,144.9642404
"-37.7836624497961, 144.95999863520058",FALSE,FALSE,-37.78366245,144.9599986
"-37.810693329155406, 144.983071937749",FALSE,TRUE,-37.81069333,144.9830719
"-37.810438177722986, 144.96409803572945",FALSE,FALSE,-37.81043818,144.964098
"-37.83028525455125, 144.97264952949166",FALSE,TRUE,-37.83028525,144.9726495
"-37.819571118805214, 144.97182464875007",FALSE,FALSE,-37.81957112,144.9718246
"-37.798924491881245, 144.92595592847908",FALSE,FALSE,-37.79892449,144.9259559
"-37.812430045460935, 144.96501543858767",FALSE,FALSE,-37.81243005,144.9650154
"-37.81767138974231, 144.9462535088493",FALSE,FALSE,-37.81767139,144.9462535
"-37.80443768421831, 144.96343052616893",FALSE,TRUE,-37.80443768,144.9634305
"-37.81027785022815, 144.9610923413044",FALSE,TRUE,-37.81027785,144.9610923
"-37.82842091627398, 144.98460191449672",FALSE,TRUE,-37.82842092,144.9846019
"-37.78528327065247, 144.96619195051946",FALSE,FALSE,-37.78528327,144.966192
"-37.795118666338084, 144.95091878885694",TRUE,FALSE,-37.79511867,144.9509188
"-37.79745516285821, 144.92349296059965",FALSE,FALSE,-37.79745516,144.923493
"-37.81152641068227, 144.9728037168352",FALSE,TRUE,-37.81152641,144.9728037
"-37.78493695299493, 144.96233927588727",FALSE,FALSE,-37.78493695,144.9623393
"-37.80241728553812, 144.97202290316702",FALSE,TRUE,-37.80241729,144.9720229
"-37.80726039782801, 144.95788106825034",FALSE,TRUE,-37.8072604,144.9578811
"-37.809316361164214, 144.95453335359068",FALSE,TRUE,-37.80931636,144.9545334
"-37.829762043290245, 144.9650239066239",FALSE,FALSE,-37.82976204,144.9650239
"-37.80282308235531, 144.96630068198394",FALSE,FALSE,-37.80282308,144.9663007
"-37.81319698844885, 144.97374469190206",FALSE,FALSE,-37.81319699,144.9737447
"-37.80663190787703, 144.95991334440367",FALSE,FALSE,-37.80663191,144.9599133
"-37.81331469375451, 144.9666513135716",FALSE,TRUE,-37.81331469,144.9666513
"-37.78784948378831, 144.92456233354102",TRUE,FALSE,-37.78784948,144.9245623
"-37.77990316842913, 144.96103894553204",FALSE,FALSE,-37.77990317,144.9610389
"-37.83210001827241, 144.975544260503",FALSE,FALSE,-37.83210002,144.9755443
"-37.79889823757444, 144.94401837483926",FALSE,FALSE,-37.79889824,144.9440184
"-37.811468256332006, 144.96175067722208",FALSE,TRUE,-37.81146826,144.9617507
"-37.79735923804568, 144.97398629700336",FALSE,FALSE,-37.79735924,144.9739863
"-37.794034684551164, 144.91961812395766",TRUE,FALSE,-37.79403468,144.9196181
"-37.80899368753833, 144.9728686722591",FALSE,TRUE,-37.80899369,144.9728687
"-37.843405472059246, 144.9823703451879",TRUE,FALSE,-37.84340547,144.9823703
"-37.811184402608355, 144.9751861982011",FALSE,FALSE,-37.8111844,144.9751862
"-37.81437973339851, 144.97601583515225",FALSE,TRUE,-37.81437973,144.9760158
"-37.81942840031672, 144.94578822758686",FALSE,FALSE,-37.8194284,144.9457882
"-37.81678974689995, 144.96933696934119",FALSE,FALSE,-37.81678975,144.969337
"-37.82760195838954, 144.9819469602272",FALSE,FALSE,-37.82760196,144.981947
"-37.81818027452629, 144.97128244641144",FALSE,TRUE,-37.81818027,144.9712824
"-37.812710697465654, 144.96535589295792",FALSE,TRUE,-37.8127107,144.9653559
"-37.811005097961136, 144.95862163735288",FALSE,TRUE,-37.8110051,144.9586216
"-37.81956008903184, 144.96060041327848",FALSE,FALSE,-37.81956009,144.9606004
"-37.815691536791896, 144.98226715782863",TRUE,FALSE,-37.81569154,144.9822672
"-37.81601000604859, 144.97270242239682",FALSE,FALSE,-37.81601001,144.9727024
"-37.84249232047023, 144.9843961780638",FALSE,TRUE,-37.84249232,144.9843962
"-37.815397268275994, 144.94056198429413",FALSE,FALSE,-37.81539727,144.940562
"-37.79581789599728, 144.93892278396697",TRUE,FALSE,-37.7958179,144.9389228
"-37.81884561014748, 144.94837757274016",FALSE,FALSE,-37.81884561,144.9483776
"-37.8148665286666, 144.979341237583",FALSE,FALSE,-37.81486653,144.9793412
"-37.82000241423202, 144.9437625580217",FALSE,FALSE,-37.82000241,144.9437626
"-37.818466012455424, 144.97388211503446",FALSE,FALSE,-37.81846601,144.9738821
"-37.79825505675542, 144.9705660670761",FALSE,FALSE,-37.79825506,144.9705661
"-37.81841607031649, 144.94658139539987",FALSE,FALSE,-37.81841607,144.9465814
"-37.8334339089649, 144.98151523466336",FALSE,FALSE,-37.83343391,144.9815152
"-37.81099949197208, 144.99096539168528",FALSE,FALSE,-37.81099949,144.9909654
"-37.81237811232576, 144.96521212904446",FALSE,TRUE,-37.81237811,144.9652121
"-37.8188136383738, 144.942903892035",FALSE,FALSE,-37.81881364,144.9429039
"-37.78073096453612, 144.95108741208116",FALSE,TRUE,-37.78073096,144.9510874
"-37.81506309138495, 144.96899203807533",FALSE,FALSE,-37.81506309,144.968992
"-37.822177747738806, 144.93826895163244",FALSE,FALSE,-37.82217775,144.938269
"-37.813586967977756, 144.9803405398592",FALSE,TRUE,-37.81358697,144.9803405
"-37.82122088208344, 144.94418531958326",FALSE,FALSE,-37.82122088,144.9441853
"-37.79376491305337, 144.97024082502696",FALSE,FALSE,-37.79376491,144.9702408
"-37.80596124931496, 144.97143107579004",FALSE,TRUE,-37.80596125,144.9714311
"-37.79206873155685, 144.9297513827727",FALSE,FALSE,-37.79206873,144.9297514
"-37.8163642527943, 144.95539891425878",FALSE,TRUE,-37.81636425,144.9553989
"-37.79686727949099, 144.952046464975",FALSE,FALSE,-37.79686728,144.9520465
