Address,Town,AddressNote,Latitude,Longitude,Parking,ParkingAccessible,ParkingNote,AccessNote,AdultChange,ChangingPlaces,AdultChangeNote,BabyChange,BabyCareRoom,BabyChangeNote,DumpPoint,DPWashout,DPAfterHours,DumpPointNote,OpeningHours,OpeningHoursNote,Male,Female,Unisex,AllGender,Ambulant,Accessible,ToiletNote,Shower
10I Gleneagles Drive,Endeavour Hills,,-37.96725752,145.2648645,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE
135 Mountainview Boulevard,Cranbourne North,,-38.07942093,145.3234874,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
289 Power Road,Endeavour Hills,,-37.96608587,145.2540423,TRUE,TRUE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
20-28I Singleton Drive,Endeavour Hills,,-37.98109217,145.2704268,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE
20I Grazing Way,Clyde North,,-38.10328981,145.379166,TRUE,TRUE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE
1201 Lydiard Street North,Ballarat North,,-37.53661026,143.8628409,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Diamond Hills Reserve,Greensborough,,-37.68362757,145.116276,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
31 Blenheim Road,Newport,Next to the Australian Islamic Centre. A beautiful architecturally designed modern mosque,-37.84609311,144.8632452,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
,Bridgewater on Loddon,,-36.5989573,143.9372637,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 6am-6pm,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
4562 Calder Highway,Inglewood,,-36.5660326,143.8629003,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,"OPEN: Sat-Sun 7am-9pm, Mon-Fri 6am-9pm",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
117 High Street,Wedderburn,,-36.41387224,143.6106243,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,"OPEN: Sat 8am-7pm, Mon-Fri 7am-7pm, Sun 9am-5pm",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
Mount Kerang Road,Skinners Flat,,-36.36632982,143.586093,FALSE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE
58 Mildura Way,Charlton,,-36.2607186,143.3553695,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Lundy Street,Charlton,,-36.26257855,143.3560562,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
39 Mildura Way,Charlton,,-36.2618022,143.3520817,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,"OPEN: Sun-Thu 7am-9pm, Fri 7am-8pm",Closed on Saturdays,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
72 Mount Street,Wycheproof,,-36.07673509,143.2331985,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE
432 Broadway,Wycheproof,,-36.0729651,143.2260784,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,"OPEN: Sat-Sun 7am-7pm, Mon-Fri 7am-7:30pm",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
18 Birchip Road,Nullawil,,-35.85276375,143.1752303,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Daylight hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
2 Oke Street,Ouyen,,-35.07170781,142.31462,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 6am-6pm,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
2090 Fifteenth Street,Irymple,,-34.23921032,142.1744914,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: Mon-Fri 8:30am-5pm,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
2090 Fifteenth Street,Irymple,,-34.2313124,142.165385,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
636 Fifteenth Street,Mildura,,-34.2190337,142.1504353,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
570 Fifteenth Street,Mildura,,-34.2198644,142.1510441,TRUE,FALSE,,,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,FALSE,,OPEN: 24 hours,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
639-665 Fifteenth Street,Mildura,,-34.2176023,142.1511459,TRUE,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,"OPEN: Mon-Fri 6:30am-9pm, Sat-Sun 7am-7pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
